Clinic ID,Year,Age Group,Diagnosis,Expected Implantation Rate Z-Score,Actual Implantation Rate Z-Score,Average Number of Embryos Trx,Cycles
2,2005,<35,All Diagnoses,-0.6724425260859794,-0.3382455567940295,2.6,30
3,2005,<35,All Diagnoses,1.0276055650983669,-1.9540006626644335,2.0,147
4,2005,<35,All Diagnoses,-2.109983191425684,-1.518160343317343,2.1,19
5,2005,<35,All Diagnoses,1.7776267817973432,-1.1905137604370948,2.1,107
6,2005,<35,All Diagnoses,-2.109983191425684,-3.090661986412064,2.5,21
8,2005,<35,All Diagnoses,-0.13492732078504638,-1.1717198745974453,2.7,110
9,2005,<35,All Diagnoses,-1.0224524272121684,-0.47349018033219537,2.3,120
10,2005,<35,All Diagnoses,-0.6849428796976292,-2.4337315470889247,2.3,58
13,2005,<35,All Diagnoses,-1.8349754119693926,0.9198788692159685,3.1,60
14,2005,<35,All Diagnoses,-1.1724566705519637,-1.846793291770827,2.7,17
15,2005,<35,All Diagnoses,-0.5724396971927825,0.8285668487373802,3.2,130
16,2005,<35,All Diagnoses,-1.6974715222412469,-1.6191533909674287,2.6,67
17,2005,<35,All Diagnoses,0.5525921278556815,-10.74045244450943,2.7,11
20,2005,<35,All Diagnoses,0.5525921278556815,-1.9231609720882434,2.1,29
22,2005,<35,All Diagnoses,-0.9974517199888693,-0.8724348139228059,3.1,76
23,2005,<35,All Diagnoses,-0.18492873523164505,0.5655287012706965,2.8,590
24,2005,<35,All Diagnoses,-0.9724510127655698,0.7963390250408355,2.7,63
25,2005,<35,All Diagnoses,-0.4349358074646371,0.5222972071668114,3.2,111
26,2005,<35,All Diagnoses,1.0526062723216656,-1.1122109618840181,2.4,79
27,2005,<35,All Diagnoses,-1.2724594994451606,-0.6290083852670397,3.1,98
28,2005,<35,All Diagnoses,-0.6974432333092786,1.342071613098114,3.3,28
29,2005,<35,All Diagnoses,-0.18492873523164505,0.5655287012706965,2.8,590
30,2005,<35,All Diagnoses,3.9901893710593224,-1.541766634170647,2.1,68
31,2005,<35,All Diagnoses,1.8276281962439413,0.9186690062380306,2.6,10
32,2005,<35,All Diagnoses,0.8526006145352726,-0.7091774100784557,2.4,55
33,2005,<35,All Diagnoses,-0.9724510127655698,1.1832994995144894,2.9,70
36,2005,<35,All Diagnoses,-1.3349612675034086,-1.3899876061594962,3.4,15
37,2005,<35,All Diagnoses,-0.9099492447073217,-0.3290007811395834,3.2,32
38,2005,<35,All Diagnoses,0.3900875309042369,-2.165686826356163,2.5,22
40,2005,<35,All Diagnoses,-0.3724340394063891,0.31390609043097645,3.0,19
41,2005,<35,All Diagnoses,-0.8349471230374244,-0.38659241797051674,3.2,103
42,2005,<35,All Diagnoses,-0.19742908884329438,0.027361080613088926,2.9,55
43,2005,<35,All Diagnoses,-0.18492873523164505,0.5655287012706965,2.8,590
45,2005,<35,All Diagnoses,2.82765648517591,-1.4296496922477104,2.2,56
46,2005,<35,All Diagnoses,-0.2724312105131922,0.8182007078106913,2.4,214
49,2005,<35,All Diagnoses,-1.5599676325131016,-0.17973052363562675,2.7,90
50,2005,<35,All Diagnoses,0.5400917742440325,-0.3570824650776599,2.6,100
51,2005,<35,All Diagnoses,-0.8349471230374244,-1.042511056161577,2.8,18
52,2005,<35,All Diagnoses,-1.0849541952704165,0.7590985856168116,2.5,179
53,2005,<35,All Diagnoses,0.16508116589454394,1.5180731118463102,2.2,137
54,2005,<35,All Diagnoses,-0.5849400508044322,-0.7690528301472173,2.2,180
56,2005,<35,All Diagnoses,-0.14742767439669616,0.9469629138750959,2.3,275
57,2005,<35,All Diagnoses,-0.6099407580277314,-3.9834546162015387,2.8,13
58,2005,<35,All Diagnoses,2.4026444623798233,-3.053725649603395,2.1,14
59,2005,<35,All Diagnoses,-1.4099633891733059,-1.5718749537562418,2.8,20
60,2005,<35,All Diagnoses,-0.6474418188626803,0.5154079161812857,2.3,169
61,2005,<35,All Diagnoses,0.5400917742440325,0.3421418875253016,3.3,61
